"cust_id","V1"
29568,2
29909,14
39856,2
139662,1
169587,20
299749,53
499639,11
509554,2
579923,6
619631,34
769883,780
859909,1
919926,9
949967,46
989587,53
1239874,74
1249787,3
1309709,2
1369576,2
1499624,2
1519567,85
1529898,73
1549549,1
1609678,129
1659549,4
1839965,4
1919647,4
1999549,80
2009974,153
2029760,56
2049833,71
2089964,1
2129768,16
2159905,22
2239835,101
2369804,15
2389788,147
2389823,5
2409947,1
2499933,4
2559894,3
2589576,2
2619622,25
2759923,110
2769672,12
2779946,2
2869574,7
2969905,56
3029520,3
3029934,5
3189822,24
3189829,128
3259553,12
3389774,2
3409674,2
3489829,1
3509800,5
3519981,3
3519993,48
3639760,53
3679801,1
3709783,2
3709984,2
3759797,17
3789930,13
3809781,1
3809808,210
3849717,98
3969876,194
4029818,4
4029893,101
4139611,129
4309605,40
4339680,26
4349684,11
4459947,3
4529875,1
4559994,7
4579768,23
4619713,20
4669549,1
4679726,1
4779672,68
4819766,86
4919858,46
4959859,1
4999884,24
5009580,49
5049867,17
5089673,13
5139925,1
5149765,2
5179927,6
5189621,20
5369881,1
5389896,8
5429986,774
5469644,1
5639820,15
5669543,66
5729916,74
5949825,199
5969889,21
5989664,1
6069763,2
6079731,3
6079933,1
6099813,70
6129636,1
6149849,27
6209836,9
6209912,16
6239809,46
6259653,13
6389560,81
6409834,1
6419953,48
6509998,6
6569658,5
6599812,39
6629718,3
6729957,24
6799994,24
6809659,14
6839963,2
6999885,4
7089970,84
7129671,38
7129976,13
7139796,17
7179732,2
7249820,1
7309686,4
7319748,33
7349772,104
7359979,9
7399797,2
7419976,15
7469857,1
7479769,2
7479996,12
7489632,120
7519976,35
7589968,68
7629630,6
7639542,28
7789616,12
7789800,131
7789905,28
7839939,56
7869549,2
7879516,1
7889790,2
7939955,10
8039647,14
8329606,8
8399540,6
8449971,42
8459959,1
8499548,5
8529605,2
8579931,1
8609972,2
8659833,78
8789770,5
8829778,4
8869977,19
8949996,1
9019561,30
9099995,5
9119791,51
9149981,26
9169797,865
9269691,15
9299898,77
9319844,213
9329968,2
9439552,39
9439971,11
9459930,38
9499680,296
9539625,28
9559913,14
9599639,23
9709710,2
9829953,7
9899593,1
9960000,14
10149644,38
10209992,28
10229970,26
10249942,9
10389881,1
10399953,11
10439823,3
10469726,27
10489785,3
10529942,6
10599949,15
10679950,25
10709970,6
10769796,80
10799903,32
10869894,5
10889669,1
10919694,1
10939624,28
10989870,1
11059580,112
11159906,23
11199831,12
11299727,2
11359796,148
11409631,4
11409719,19
11469570,11
11469765,1
11559855,3
11609958,122
11619982,39
11629887,17
11639862,9
11639918,61
11659818,7
11719672,3
11789887,33
11859914,93
11889976,1
11919562,6
11999871,16
12089735,21
12099561,11
12269588,40
12359644,5
12429918,1
12509635,6
12559813,26
12569646,1
12659995,8
12689530,4
12709994,3
12739846,269
12829653,52
12869802,10
12919740,73
12999970,33
13029758,3
13129651,71
13139550,1
13149827,329
13199956,34
13259989,48
13289598,8
13359634,3
13399563,2
13409950,3
13449599,35
